年份,岗位代码,地区,部门名称,职位,学历,专业,招考人数,报考人数,分数线,最高分,城市
2021,20084,淮北,濉溪县人民法院,法官助理,本科,法学类,3,9,77,88,上海市
2018,20085,淮北,濉溪县人民法院,法官助理,本科,法学类,4,65,45,74,丽市
2014,20086,淮北,濉溪县人民法院,司法行政人员,本科,计算机类,1,1,80,71,荣县
2022,20087,淮北,杜集区人民检察院,检察官助理,本科,法学类（不含特设专业）,4,91,49,76,武汉县
2019,20088,淮北,杜集区人民检察院,司法行政人员,本科,会计学专业、财务管理专业、审计学专业,4,10,70,71,斌市
2021,20089,淮北,烈山区检察院,检察官助理,本科,法学类（不含特设专业）,1,76,62,75,平市
2020,20090,淮北,濉溪县检察院,司法行政人员,本科,中国语言文学类、新闻传播学类,1,1,83,75,斌市
2020,20091,淮北,濉溪县乡镇7,乡镇综合,高中（中专）,不限,1,25,0,0,上海市
2016,20092,淮北,杜集区段园镇,乡镇综合,高中（中专）,不限,4,23,0,0,佛山县
2018,20093,淮北,淮北市公安局,突击,高中,,1,39,62,58,丹丹市
2016,20094,淮北,淮北市公安局,突击,高中,,1,5,63,61,佛山县
2020,70001,淮南,淮南市人大常委会机关,财务管理,本科,会计学专业、财务管理专业、审计学专业,3,1,65,75,兴安盟市
2017,70002,淮南,淮南市纪委监委机关,纪检监察,本科,法学类、公安学类、计算机类、财政学类、金融学类,1,1,52,76,齐齐哈尔市
2015,70003,淮南,淮南市纪委监委机关,纪检监察,本科,管理科学与工程类、工商管理类、公共管理类、中国语言文学类、心理学类、图书情报与档案管理类,1,26,72,78,宁德县
2020,70004,淮南,淮南市纪委监委派驻（出）机构,纪检监察,本科,法学类、公安学类、管理科学与工程类、工商管理类、公共管理类、计算机类、中国语言文学类、心理学类,1,1,56,85,燕县
2016,70005,淮南,淮南市纪委监委派驻（出）机构,纪检监察,本科,不限,1,74,69,62,丹丹市
2016,70006,淮南,民进淮南市委员会,机关综合,本科,经济学门类、汉语言文学专业、秘书学专业、新闻学专业,1,1,77,70,瑜市
2021,70007,淮南,民革淮南市委员会,机关综合,本科,不限,1,60,52,74,嘉禾市
2017,70008,淮南,淮南市总工会,劳动保护,本科,安全科学与工程类、地质类、矿业类,1,83,89,72,郑州县
2019,70009,淮南,淮南市委党校,教学管理,本科,计算机类,3,123,63,79,玲市
2015,70010,淮南,淮南市委党校,文秘,研究生,中国语言文学（一级学科）,3,74,65,64,佛山县
2014,70011,淮南,淮南市委党史和地方志研究室,财务管理,本科,会计学专业、财务管理专业、审计学专业,4,1,84,66,杰市
2020,70012,淮南,淮南老年大学办公室,文秘,本科,经济学类、教育学类、中国语言文学类,4,113,82,71,武汉市
2017,70013,淮南,淮南市发展和改革委员会,机关综合,本科,理学门类、工学门类、经济学门类、管理学门类、中国语言文学类,1,206,78,72,齐齐哈尔县
2020,70014,淮南,淮南市教育体育局,机关综合,本科,法学类,1,57,52,66,福州市
2020,70015,淮南,淮南市教育体育局,财务管理,本科,会计学专业、财务管理专业、审计学专业,1,70,71,69,香港市
2017,70016,淮南,淮南市科学技术局,科技管理,本科,理学门类、工学门类,1,110,61,75,琳市
2021,70017,淮南,淮南市财政局,财政管理,本科,会计学专业、财务管理专业、审计学专业、财政学专业、金融学专业,4,1,77,73,哈尔滨市
2014,70018,淮南,淮南市自然资源和规划局,机关综合,本科,地理科学类、矿物资源工程专业、财务管理专业,2,73,58,76,西宁市
2018,70019,淮南,淮南市寿县生态环境分局,环境执法,本科,中国语言文学类、新闻传播学类、法学类,1,17,52,72,杰市
2020,70020,淮南,淮南市大通区生态环境分局,环境执法,本科,理学门类、工学门类,1,63,69,71,西宁县
2022,70021,淮南,淮南市交通运输局,交通工程管理,本科,交通工程专业、工程管理专业、道路桥梁与渡河工程专业、土木工程专业,1,75,61,68,杰市
2021,70022,淮南,淮南市交通运输局,文秘,本科,中国语言文学类,1,1,73,72,宇县
2017,70023,淮南,淮南市商务局,综合文字,本科,中国语言文学类、新闻传播学类,4,12,88,76,西宁县
2021,70024,淮南,淮南市商务局,对外经济合作,本科,经济与贸易类、电子商务类、金融学专业、商务英语专业、数字媒体技术专业,1,1,91,77,志强县
2018,70025,淮南,淮南市文化和旅游局,财务管理,本科,经济学类、金融学类、财政学类、会计学专业、审计学专业,1,1,74,73,郑州县
2018,70026,淮南,淮南市文化和旅游局,产业规划开发,本科,建筑学专业、城乡规划专业、风景园林专业,1,1,87,64,志强县
2018,70027,淮南,淮南市卫生健康委员会,医疗管理,本科,临床医学专业、中医学专业、中西医临床医学专业,4,7,70,64,南京市
2022,70028,淮南,淮南市卫生健康委员会,疾控与卫生应急,本科,公共卫生与预防医学类（不含特设专业）、卫生检验与检疫专业,1,107,67,70,郑州县
2016,70029,淮南,淮南市应急管理局,安全监管,本科,矿业类、安全科学与工程类,1,45,64,74,斌市
2017,70030,淮南,淮南市审计局,财务审计,本科,经济学类、金融学类、财政学类、工商管理类,2,5,88,73,佛山县
2019,70031,淮南,淮南市审计局,投资审计,本科,土木类、管理科学与工程类,1,45,78,77,芳县
2019,70032,淮南,淮南市审计局,电子数据审计,本科,计算机类,1,1,67,67,俊市
2018,70033,淮南,淮南市地方金融监督管理局,金融监管,本科,金融学类、经济学类,3,77,88,71,杰市
2015,70034,淮南,淮南市粮食和物资储备局,机关综合,本科,法学类、中国语言文学类、食品科学与工程类,4,95,76,71,志强县
2017,70035,淮南,淮南市司法局,司法行政,本科,法学类,4,1,52,63,西宁市
2021,70036,淮南,淮南市供销合作社联合社,财务管理,本科,会计学专业、财务管理专业、审计学专业,1,1,51,69,佛山县
2014,70037,淮南,淮南市水利局市水利工程质量监督站,水利工程质量监督,本科,水利类,1,107,76,67,斌市
2021,70038,淮南,淮南市市场监管综合行政执法支队,市场监管,本科,药学类,1,1,51,71,张家港县
2015,70039,淮南,淮南市市场监管综合行政执法支队,市场监管,本科,不限,2,62,84,67,西宁市
2020,70040,淮南,淮南市市场监管综合行政执法支队,市场监管,本科,中国语言文学类,1,82,53,69,佛山县
2020,70041,淮南,淮南市市场监管综合行政执法支队,市场监管,本科,工商管理类,2,126,62,77,上海县
2017,70042,淮南,淮南市应急管理局市防汛抗旱指挥中心,防汛抗旱,本科,水利水电工程专业、水文与水资源工程专业、水利科学与工程专业,3,32,61,71,西宁市
2017,70043,淮南,淮南市农业综合行政执法支队,财务管理,本科,会计学专业、财务管理专业、审计学专业,1,107,48,57,杰市
2018,70044,淮南,淮南市农业综合行政执法支队,农业综合行政执法,本科,中国语言文学类、法学类,2,15,75,69,哈尔滨县
2013,70045,淮南,淮南市生态环境保护综合行政执法支队,环境执法,本科,不限,3,1,0,0,志强县
2020,70046,淮南,淮南市生态环境保护综合行政执法支队,财务管理,本科,会计学专业、财务管理专业、审计学专业,1,1,71,72,昆明县
2017,70047,淮南,淮南市生态环境保护综合行政执法支队,综合文字,本科,中国语言文学类、新闻传播学类,1,101,72,71,瑜市
2014,70048,淮南,淮南市生态环境保护综合行政执法支队,环境执法,本科,法学门类,1,26,51,70,南京市
2015,70049,淮南,淮南市生态环境保护综合行政执法支队,环境执法,本科,环境科学与工程类、化学类,1,102,50,72,兴安盟市
2018,70050,淮南,淮南市统计局农村抽样调查队,统计调查,本科,经济学门类、管理学门类、统计学类,1,64,78,75,丽市
2020,70051,淮南,淮南市信息中心,信息技术,本科,电子信息工程专业、计算机科学与技术专业、信息安全专业、软件工程专业、电子与计算机工程专业,1,117,64,67,西宁县
2014,70052,淮南,淮南市部分市直单位（市委统战部、市委编办、市教体局、市信访局）,机关综合,本科,不限,2,213,77,72,畅县
2017,70053,淮南,寿县纪委监委派驻纪检监察组,纪检监察,本科,法学类、中国语言文学类、新闻传播学类,4,80,72,78,西宁县
2014,70054,淮南,寿县县委办公室,综合文字,本科,中国语言文学类,1,1,71,70,西宁县
2015,70055,淮南,寿县县委组织部,组织人事管理,本科,哲学门类、法学门类、管理学门类,1,38,74,75,辛集市
2021,70056,淮南,寿县县委宣传部,机关综合,本科,不限,1,26,86,69,宁德县
2020,70057,淮南,寿县县委巡察工作领导小组办公室,巡察,本科,法学类、中国语言文学类、新闻传播学类,1,1,78,80,南京市
2020,70058,淮南,寿县残疾人联合会,机关综合,本科,不限,2,1,66,69,福州市
2022,70059,淮南,寿县县委党校,机关综合,本科,中国语言文学类（不含特设专业）、行政管理专业,1,49,73,72,上海县
2019,70060,淮南,寿县发展和改革委员会,经济分析与财政管理,本科,经济学类（不含特设专业）、财政学专业,2,1,89,83,石家庄县
2014,70061,淮南,寿县科技局,科技管理,本科,不限,1,50,87,80,海燕市
2017,70062,淮南,寿县司法局,社区矫正管理,本科,法学类,1,77,48,69,瑜市
2014,70063,淮南,寿县司法局,财务管理,本科,会计学专业、财务管理专业、审计学专业,1,1,48,62,齐齐哈尔县
2021,70064,淮南,寿县司法局,综合文字,本科,中国语言文学类,2,88,72,74,潜江县
2017,70065,淮南,寿县司法局,信息化运用,本科,计算机类,1,1,79,64,潜江县
2013,70066,淮南,寿县自然资源和规划局,机关综合,本科,中国语言文学类、建筑类（不含特设专业）、工商管理类（不含特设专业）,1,81,76,69,上海市
2016,70067,淮南,寿县交通运输局,财务管理,本科,会计学专业、财务管理专业、审计学专业,3,24,62,64,张家港县
2017,70068,淮南,寿县农业农村局,财务管理,本科,农业经济管理类、会计学专业、财务管理专业,2,45,75,79,荣县
2017,70069,淮南,寿县农业农村局,农业管理,本科,植物生产类（不含特设专业）、工程管理专业,2,15,77,77,秀芳县
2021,70070,淮南,寿县市场监督管理局,市场监管,本科,法学类,3,1,52,57,荣县
2019,70071,淮南,寿县市场监督管理局,市场监管,本科,食品科学与工程类,1,1,80,65,潜江县
2022,70072,淮南,寿县市场监督管理局,市场监管,本科,药学类,1,1,88,72,武汉市
2013,70073,淮南,寿县市场监督管理局,市场监管,本科,机械类,1,74,53,63,琳市
2022,70074,淮南,寿县乡村振兴局,工程管理,本科,管理科学与工程类（不含特设专业）,1,1,68,69,石家庄县
2022,70075,淮南,寿县乡村振兴局,财务管理,本科,会计学专业、财务管理专业、审计学专业,1,42,48,68,西宁县
2017,70076,淮南,寿县供销合作社联合社,财务管理,本科,会计学专业、财务管理专业、审计学专业,1,1,48,62,瑜市
2019,70077,淮南,寿县水产管理服务中心,水产管理,本科,水产养殖学专业、水族科学与技术专业、水生动物医学专业,1,1,48,73,潜江县
2020,70078,淮南,寿县财政局国库支付中心,财政财务,本科,会计学专业、财务管理专业、审计学专业、财政学专业、金融学专业,1,1,69,70,巢湖市
2017,70079,淮南,寿县农业机械事务管理中心,综合文字,本科,中国语言文学类、新闻传播学类、马克思主义理论类,4,1,65,69,上海市
2020,70080,淮南,寿县陶店回族乡,村镇建设管理,本科,不限,1,93,47,73,武汉市
2018,70081,淮南,寿县乡镇机关,村镇建设管理,本科,不限,4,111,53,74,海口市
2015,70082,淮南,寿县乡镇机关,村镇建设管理,本科,不限,5,21,59,63,斌市
2015,70083,淮南,寿县乡镇机关,村镇建设管理,本科,不限,2,131,57,71,南京市
2022,70084,淮南,寿县乡镇机关,村镇建设管理,专科,不限,7,278,52,74,南京市
2014,70085,淮南,寿县寿春镇,人武专干,专科,人民武装专业（退役军人报考可不限专业）,4,106,45,61,郑州市
2021,70086,淮南,凤台县总工会,综合文字,本科,不限,1,1,75,74,秀芳县
2022,70087,淮南,凤台县委党校,机关综合,本科,工商管理类,1,33,68,73,齐齐哈尔市
2022,70088,淮南,凤台县直机关工委,督导检查,本科,不限,1,12,81,71,娟县
2020,70089,淮南,凤台县直机关工委,督导检查,本科,不限,1,87,47,61,芳县
2013,70090,淮南,凤台县人社局,机关综合,本科,中国语言文学类、法学类、会计学专业、财务管理专业、审计学专业,4,2,58,77,佛山县
2019,70091,淮南,凤台县教育局,教育管理,本科,不限,4,14,82,65,北镇市
2019,70092,淮南,凤台县审计局,经济审计,本科,会计学专业、财务管理专业、审计学专业、财政学专业,1,53,78,74,斌市
2017,70093,淮南,凤台县卫生健康委员会,卫生健康管理,本科,医学门类,4,17,83,79,西宁县
2022,70094,淮南,凤台县信访局,综合文字,本科,不限,4,41,73,65,南京市
2017,70095,淮南,凤台县农业农村局,机关综合,本科,工商管理类,4,97,61,74,海口市
2015,70096,淮南,凤台县农业农村局,农业管理,本科,农学门类,1,96,58,73,海燕市
2015,70097,淮南,凤台县经济和信息化局,经济运行,本科,经济学类,1,63,61,73,荣县
2017,70098,淮南,凤台县应急管理局,数据管理,本科,计算机类、电子信息类、自动化类,1,44,52,64,郑州市
2014,70099,淮南,凤台县自然资源和规划局,城乡规划,本科,建筑学专业、城乡规划专业、城市设计专业,1,1,81,68,北镇市
2022,70100,淮南,凤台县自然资源和规划局,林业草业管理,本科,林学类、草学类,4,56,65,62,北镇市
2021,70101,淮南,凤台县发改委,粮食安全管理,本科,经济学类、管理科学与工程类、计算机类、统计学类、食品科学与工程类,1,1,56,65,昆明县
2019,70102,淮南,凤台县发改委,项目管理,本科,经济学类、管理科学与工程类、计算机类、统计学类,2,1,59,71,西宁市
2019,70103,淮南,凤台县市场监管局,市场监管,本科,不限,3,136,75,74,佛山县
2022,70104,淮南,凤台县市场监管局,市场监管,本科,不限,4,131,83,73,平市
2014,70105,淮南,凤台县市场监管局,市场监管,本科,不限,1,1,0,0,燕县
2016,70106,淮南,凤台县卫生健康委员会老龄办,机关综合,本科,工商管理类,1,1,79,73,杰市
2019,70107,淮南,凤台县地震局,机关综合,本科,不限,3,81,72,71,玲市
2017,70108,淮南,凤台县人社局就业服务管理中心,机关综合,本科,不限,4,1,84,68,齐齐哈尔市
2013,70109,淮南,凤台县人社局就业服务管理中心,就业服务管理,本科,计算机类,1,25,74,73,武汉市
2021,70110,淮南,凤台县乡镇机关,组织人事管理,本科,不限,7,196,72,78,海口市
2020,70111,淮南,凤台县乡镇机关,村镇建设管理,本科,不限,8,1,39,68,宇县
2016,70112,淮南,凤台县乡镇机关,组织人事管理,本科,不限,9,196,50,82,畅县
2022,70113,淮南,凤台县乡镇机关,村镇建设管理,本科,不限,2,215,55,75,丽市
2019,70114,淮南,凤台县乡镇机关,村镇建设管理,专科,不限,10,355,74,74,玲市
2019,70115,淮南,凤台县大兴镇,人武专干,专科,不限,1,30,71,60,张家港县
2014,70116,淮南,凤台县杨村镇,人武专干,专科,人民武装专业（退役军人报考可不限专业）,2,12,51,60,海口市
2019,70117,淮南,大通区纪委监委机关,纪检监察,本科,中国语言文学类,2,60,85,75,平市
2022,70118,淮南,大通区纪委监委派驻纪检监察组,纪检监察,本科,法学类,1,1,69,67,福州市
2019,70119,淮南,大通区档案馆,档案管理,本科,图书情报与档案管理类,1,58,87,77,兴安盟市
2013,70120,淮南,大通区市场监督管理局,市场监管,本科,机械类、食品科学与工程类,3,161,62,79,哈尔滨市
2018,70121,淮南,大通区市场监督管理局,市场监管,本科,法学类,4,19,40,59,瑜市
2020,70122,淮南,大通区市场监督管理局,市场监管,本科,不限,2,1,68,61,上海市
2015,70123,淮南,大通区洛河镇,村镇建设管理,专科,不限,3,126,59,66,芳县
2013,70124,淮南,大通区孔店乡,项目建设管理,本科,不限,1,1,76,51,郑州市
2016,70125,淮南,田家庵区政协办公室,机关综合,本科,不限,1,72,65,75,张家港县
2021,70126,淮南,田家庵区委党校,机关综合,本科,不限,4,7,78,78,北镇市
2020,70127,淮南,田家庵区司法局,机关综合,本科,法学类,1,87,76,63,石家庄县
2016,70128,淮南,田家庵区司法局,机关综合,本科,法学类,1,1,81,76,琳市
2019,70129,淮南,田家庵区市场监督管理局,市场监管,本科,食品科学与工程类、药学类、中药学类,2,87,72,77,荣县
2021,70130,淮南,田家庵区市场监督管理局,市场监管,本科,电气类、自动化类,3,207,50,74,齐齐哈尔县
2020,70131,淮南,田家庵区市场监督管理局,市场监管,本科,不限,3,82,0,0,畅县
2021,70132,淮南,田家庵区市场监督管理局,市场监管,本科,法学类,1,1,56,63,武汉市
2017,70133,淮南,田家庵区蔬菜办公室,文秘,本科,不限,1,67,82,70,琳市
2014,70134,淮南,田家庵区蔬菜办公室,文秘,本科,不限,4,76,81,71,北镇市
2018,70135,淮南,田家庵区舜耕镇,组织人事管理,本科,不限,1,76,73,67,畅县
2020,70136,淮南,田家庵区舜耕镇,组织人事管理,专科,不限,4,16,65,74,瑜市
2014,70137,淮南,田家庵区安成镇,组织人事管理,本科,不限,1,1,65,64,海口市
2021,70138,淮南,田家庵区安成镇,组织人事管理,专科,不限,1,180,76,66,郑州市
2019,70139,淮南,谢家集区纪委监委机关,纪检监察,本科,计算机类,1,107,68,69,俊市
2015,70140,淮南,谢家集区纪委监委派驻纪检监察组,纪检监察,本科,法学类,4,1,76,73,琳市
2014,70141,淮南,谢家集区纪委监委派驻纪检监察组,纪检监察,本科,法学类,1,67,53,57,郑州市
2013,70142,淮南,谢家集区纪委监委派驻纪检监察组,纪检监察,本科,不限,1,1,82,66,荣县
2014,70143,淮南,谢家集区市场监督管理局,市场监管,本科,法学门类,4,1,65,65,昆明县
2015,70144,淮南,谢家集区市场监督管理局,机关综合,本科,工商管理类、中国语言文学类、新闻传播学类,1,76,89,69,瑜市
2020,70145,淮南,谢家集区市场监督管理局,市场监管,本科,机械类,1,12,64,65,丹丹市
2018,70146,淮南,谢家集区市场监督管理局,市场监管,本科,土木类、建筑类,2,165,68,75,丹丹市
2021,70147,淮南,谢家集区发展和改革委员会,项目建设管理,本科,不限,2,92,61,72,斌市
2013,70148,淮南,谢家集区人民政府信访局,信访维稳,本科,不限,4,1,74,74,郑州市
2015,70149,淮南,谢家集区委党校,信息化运用,本科,计算机类,3,1,76,73,海燕市
2022,70150,淮南,谢家集区商务促进管理局副食品管理服务中心,副食品监管,本科,不限,4,130,85,75,武汉市
2019,70151,淮南,谢家集区商务促进管理局副食品管理服务中心,副食品监管,本科,不限,2,85,0,0,海燕市
2019,70152,淮南,谢家集区财政局会计核算中心,财政核算,本科,会计学专业、财务管理专业、审计学专业,1,1,86,70,畅县
2020,70153,淮南,谢家集区农业农村水利局畜牧兽医服务中心,三农综合管理,本科,不限,1,1,0,0,斌市
2019,70154,淮南,谢家集区司法局,行政复议,本科,法学类,2,1,75,63,上海市
2020,70155,淮南,谢家集区唐山镇,村镇建设管理,专科,不限,4,150,45,67,燕县
2013,70156,淮南,谢家集区唐山镇,组织人事管理,本科,不限,3,1,75,64,秀芳县
2017,70157,淮南,谢家集区杨公镇,村镇建设管理,本科,不限,1,1,48,72,丹丹市
2017,70158,淮南,八公山区纪委监委派驻纪检监察组,纪检监察,本科,中国语言文学类、新闻传播学类（不含特设专业）、马克思主义理论类,4,1,77,75,上海市
2013,70159,淮南,八公山区市场监督管理局,市场监管,本科,法学类,1,1,40,57,海燕市
2018,70160,淮南,八公山区市场监督管理局,市场监管,本科,食品科学与工程类,1,1,66,74,香港市
2014,70161,淮南,八公山区市场监督管理局,市场监管,本科,机械类,1,1,67,66,丹丹市
2020,70162,淮南,八公山区市场监督管理局,综合文字,本科,中国语言文学类,3,1,58,65,南京市
2018,70163,淮南,八公山区市场监督管理局,市场监管,本科,不限,3,76,0,0,西宁市
2018,70164,淮南,八公山区司法局,司法行政,本科,法学类,4,1,75,72,平市
2022,70165,淮南,八公山区司法局,司法行政,本科,不限,1,1,50,70,西宁市
2015,70166,淮南,八公山区山王镇,村镇建设管理,专科,不限,2,11,58,72,兴安盟市
2018,70167,淮南,潘集区纪委监委派驻纪检监察组,纪检监察,本科,法学类、汉语言文学专业,3,33,80,76,嘉禾市
2018,70168,淮南,潘集区委办公室,综合文字,本科,中国语言文学类,3,1,74,68,琳市
2022,70169,淮南,潘集区直机关工委,信息管理,本科,计算机类,1,104,80,71,宁德县
2020,70170,淮南,潘集区档案馆（区委党史和地方志研究室）,档案管理,本科,历史学类、图书情报与档案管理类、汉语言文学专业,1,72,74,67,杰市
2021,70171,淮南,潘集区市场监督管理局,市场监管,本科,不限,6,1,57,62,潜江县
2019,70172,淮南,潘集区市场监督管理局,市场监管,本科,不限,2,66,60,73,宁德县
2013,70173,淮南,潘集区市场监督管理局,市场监管,本科,不限,3,221,51,69,芳县
2014,70174,淮南,潘集区水利局,水利管理,本科,水利类,2,1,75,62,西宁县
2013,70175,淮南,潘集区农业农村局畜牧兽医服务中心,农业技术,本科,动物生产类、林学类、自然保护与环境生态类,1,1,53,79,齐齐哈尔市
2020,70176,淮南,潘集区贺疃镇,组织人事管理,本科,不限,1,81,84,76,娟县
2017,70177,淮南,潘集区夹沟镇,农业农村管理,本科,不限,4,113,54,62,斌市
2019,70178,淮南,潘集区泥河镇,组织人事管理,本科,不限,1,1,87,78,石家庄县
2015,70179,淮南,潘集区泥河镇,财务管理,专科,不限,1,58,73,70,海口市
2016,70180,淮南,毛集实验区司法局,司法行政,本科,不限,1,82,83,70,嘉禾市
2017,70181,淮南,毛集实验区司法局,司法行政,本科,不限,1,79,62,69,芳县
2021,70182,淮南,毛集实验区毛集镇,文化旅游管理,本科,不限,4,56,74,67,丹丹市
2015,70183,淮南,毛集实验区毛集镇,村镇建设管理,专科,不限,1,90,66,72,巢湖市
2018,70184,淮南,毛集实验区毛集镇,组织人事管理,本科,不限,1,115,56,70,志强县
2021,70185,淮南,毛集实验区毛集镇,项目建设管理,专科,不限,1,34,67,62,宁德县
2015,70186,淮南,毛集实验区夏集镇,村镇建设管理,专科,不限,1,1,80,73,潜江县
2020,70187,淮南,毛集实验区焦岗湖镇,组织人事管理,本科,不限,1,87,60,74,郑州县
2022,70188,淮南,毛集实验区焦岗湖镇,文化旅游管理,本科,不限,4,1,57,70,丽市
2020,70189,淮南,毛集实验区焦岗湖镇,村镇建设管理,专科,不限,1,33,54,73,丽市
2015,70190,淮南,寿县公安局,人民警察,本科,不限,1,76,57,67,燕县
2015,70191,淮南,寿县公安局,人民警察,本科,不限,1,98,46,68,上海县
2014,70192,淮南,寿县公安局,人民警察,本科,不限,1,70,58,71,海燕市
2014,70193,淮南,凤台县公安局,信息通信★,本科,计算机类、电子信息类,2,53,50,67,海燕市
2020,70194,淮南,凤台县公安局,法医★,本科,临床医学类、法医学类、基础医学类,1,76,63,78,平市
2019,70195,淮南,凤台县公安局,人民警察,本科,不限,5,63,50,67,琳市
2021,70196,淮南,凤台县公安局,人民警察,本科,不限,4,13,70,66,石家庄县
2019,70197,淮南,淮南市中级人民法院,法官助理,本科,法学类,2,1,65,74,丽市
2016,70198,淮南,淮南市中级人民法院,法官助理,本科,法学类,3,10,73,73,宁德县
2015,70199,淮南,淮南市中级人民法院,司法行政人员,本科,计算机科学与技术专业、软件工程专业、网络工程专业,1,36,48,69,昆明县
2019,70200,淮南,淮南市中级人民法院,司法行政人员,本科,中国语言文学类、新闻传播学类,1,62,44,79,芳县
2015,70201,淮南,寿县人民法院,法官助理,本科,法学类,4,1,60,71,宁德县
2020,70202,淮南,寿县人民法院,综合业务,本科,新闻传播学类,2,48,71,67,志强县
2015,70203,淮南,凤台县人民法院,法官助理,本科,法学类,2,53,44,67,巢湖市
2017,70204,淮南,凤台县人民法院,司法行政人员,本科,中国语言文学类、新闻传播学类、教育学类、法学类,1,80,44,64,佛山县
2017,70205,淮南,凤台县人民法院,司法行政人员,本科,图书情报与档案管理类,1,69,76,75,佛山县
2022,70206,淮南,凤台县人民法院,司法行政人员,本科,计算机科学与技术专业、软件工程专业、网络工程专业、电子与计算机工程专业,1,27,62,70,石家庄县
2021,70207,淮南,淮南市大通区人民法院,法官助理,本科,法学类,3,68,85,64,平市
2022,70208,淮南,淮南市谢家集区人民法院,综合业务,本科,法学类,4,96,0,0,斌市
2020,70209,淮南,淮南市谢家集区人民法院,司法行政人员,本科,中国语言文学类、新闻传播学类,1,24,66,69,佛山县
2016,70210,淮南,淮南市八公山区人民法院,法官助理,本科,法学类,1,31,61,69,杰市
2013,70211,淮南,淮南市潘集区人民法院,法官助理,本科,法学类,2,41,0,0,宇县
2015,70212,淮南,淮南市潘集区人民法院,综合业务,本科,法学类,1,1,44,75,福州市
2013,70213,淮南,淮南市人民检察院,检察官助理,本科,法学类（不含特设专业）,1,113,88,71,南京市
2015,70214,淮南,寿县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,103,40,62,娟县
2014,70215,淮南,寿县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,47,70,郑州县
2015,70216,淮南,凤台县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,87,70,69,娟县
2016,70217,淮南,凤台县人民检察院,司法行政人员,本科,中国语言文学类、工商管理类、计算机类,3,67,88,73,琳市
2013,70218,淮南,田家庵区人民检察院,检察官助理,本科,法学类（不含特设专业）,2,42,44,76,西宁市
2021,70219,淮南,田家庵区人民检察院,检察官助理,本科,法学类（不含特设专业）,4,1,70,76,玲市
2018,70220,淮南,田家庵区人民检察院,司法行政人员,本科,不限,1,1,56,71,哈尔滨县
2013,70221,淮南,谢家集区人民检察院,检察官助理,本科,法学类（不含特设专业）,2,92,71,71,丹丹市
2018,70222,淮南,潘集区人民检察院,检察官助理,本科,法学类（不含特设专业）,2,1,40,71,哈尔滨市
2013,70223,淮南,潘集区高皇镇,综合管理,高中（中专）,不限,4,94,0,0,哈尔滨市
2014,80001,滁州,滁州市公安局,物证检验及鉴定1★,本科,计算机科学与技术专业、网络工程专业、电子与计算机工程专业,4,15,86,83,潜江县
2019,80002,滁州,滁州市公安局,物证检验及鉴定2★,本科,刑事科学技术专业、网络安全与执法专业、公安视听技术专业、数据警务技术专业,2,82,45,68,荣县
2020,80003,滁州,滁州市公安局,人民警察,本科,经济学类、金融学类,3,170,83,71,瑜市
2016,80004,滁州,来安县公安局,网络安全管理★,本科,计算机科学与技术专业、网络工程专业、信息安全专业,1,72,76,71,齐齐哈尔市
2018,80005,滁州,来安县公安局,人民警察1,本科,法学类、交通管理工程专业,1,78,74,71,宁德县
2017,80006,滁州,来安县公安局,人民警察2,专科,专科：刑事侦查专业、治安管理专业、道路交通管理专业、警务指挥与战术专业、特警专业、刑事科学技术专业、网络安全与执法专业；本科：侦查学专业、治安学专业、公安管理学专业、警务指挥与战术专业、交通管理工程专业、刑事科学技术专业、网络安全与执法专业；研究生：公安学（一级学科）、公安技术（一级学科）,3,25,49,70,石家庄县
2016,80007,滁州,来安县公安局,人民警察3,本科,中国语言文学类,4,65,46,68,娟县
2017,80008,滁州,来安县公安局,人民警察4,本科,会计学专业、审计学专业、财务管理专业,1,69,79,72,瑜市
2022,80009,滁州,来安县公安局,人民警察5,专科,不限,4,216,74,68,秀芳县
2021,80010,滁州,来安县公安局,人民警察6,本科,不限,3,98,49,64,石家庄县
2018,80011,滁州,全椒县公安局,网络安全管理★,本科,计算机类,1,1,71,76,上海市
2019,80012,滁州,全椒县公安局,法医★,本科,法医学类,1,31,47,75,杰市
2015,80013,滁州,全椒县公安局,人民警察1,本科,法学类,5,1,35,67,潜江县
2018,80014,滁州,全椒县公安局,人民警察2,本科,机械类,3,1,77,68,上海市
2015,80015,滁州,全椒县公安局,人民警察3,本科,不限,1,1,0,0,南京市
2017,80016,滁州,定远县公安局,人民警察1,本科,金融学类,1,83,80,63,哈尔滨市
2021,80017,滁州,定远县公安局,人民警察2,本科,化学类,1,1,62,63,瑜市
2020,80018,滁州,定远县公安局,人民警察3,本科,公安学类、法学类,1,100,61,67,哈尔滨市
2019,80019,滁州,定远县公安局,人民警察4,本科,中国语言文学类,1,91,56,64,哈尔滨市
2016,80020,滁州,定远县公安局,人民警察5,本科,不限,2,181,61,75,南京市
2016,80021,滁州,定远县公安局,人民警察6,本科,不限,3,101,72,66,昆明县
2016,80022,滁州,凤阳县公安局,网络安全管理★,本科,计算机类、电子信息类,1,1,55,75,燕县
2016,80023,滁州,凤阳县公安局,人民警察1,本科,公安学类、法学类,6,1,50,72,海口市
